RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-13;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-13;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-13;A1MD34;BRA1MDBDR002;A1MD;440;44,235;1;19463,4
2023-01-13;A1RE34;BRA1REBDR009;A1RE;84;193,2538095;1;16233,32
2023-01-13;A1UT34;BRA1UTBDR001;A1UT;158;247,2577848;1;39066,73
2023-01-13;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-13;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-13;AALR3;BRAALRACNOR6;AALR;1649286;20,9780676;1;34598833,34
2023-01-13;AAPL34;BRAAPLBDR004;AAPL;1440377;34,5926495;1;49826456,85
2023-01-13;ABBV34;BRABBVBDR001;ABBV;1040;53,79;1;55941,6
2023-01-13;ABCB4;BRABCBACNPR4;ABCB;1303983;19,0973213;1;24902582,45
2023-01-13;ABEV3;BRABEVACNOR1;ABEV;310838572;14,5493797;1;4522508424,45
2023-01-13;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-13;ACNB34;BRACNBBDR006;ACNB;6;1460,56;1;8763,36
2023-01-13;ACWI11;BRACWICTF001;ACWI;388578;9,186761;1;3569773,22
2023-01-13;ADBE34;BRADBEBDR003;ADBE;155;34,9795483;1;5421,83
2023-01-13;AERI3;BRAERIACNOR4;AERI;10942815;1,0592662;1;11591354,08
2023-01-13;AESB3;BRAESBACNOR7;AESB;29847030;9,4319312;1;281515133,91
2023-01-13;AFHI11;BRAFHICTF005;AFHI;678;95,0745132;1;64460,52
2023-01-13;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-13;AGRO3;BRAGROACNOR7;AGRO;2959880;27,9186431;1;82635833,49
2023-01-13;AGXY3;BRAGXYACNOR4;AGXY;328749;9,1244784;1;2999663,17
2023-01-13;AIRB34;BRAIRBBDR004;AIRB;188136;23,7336542;1;4465154,77
2023-01-13;ALLD3;BRALLDACNOR3;ALLD;53035;6,0005153;1;318237,33
2023-01-13;ALPA3;BRALPAACNOR0;ALPA;445;11,8229887;1;5261,23
2023-01-13;ALPA4;BRALPAACNPR7;ALPA;17838756;14,4103398;1;257062535,64
2023-01-13;ALPK3;BRALPKACNOR9;ALPK;79042;1,6420742;1;129792,83
