RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-11;5GTK11;BR5GTKCTF000;5GTK;1;77,81;1;77,81
2023-01-11;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-11;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-11;A1IV34;BRA1IVBDR002;A1IV;1;38,81;1;38,81
2023-01-11;A1MD34;BRA1MDBDR002;A1MD;440;44,235;1;19463,4
2023-01-11;A1RE34;BRA1REBDR009;A1RE;65;191,6053846;1;12454,35
2023-01-11;A1UT34;BRA1UTBDR001;A1UT;199;249,0823618;1;49567,39
2023-01-11;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-11;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-11;AALR3;BRAALRACNOR6;AALR;1575626;20,934629;1;32985145,8
2023-01-11;AAPL34;BRAAPLBDR004;AAPL;1607475;34,5567276;1;55549075,73
2023-01-11;ABCB4;BRABCBACNPR4;ABCB;1262569;18,9971316;1;23985189,52
2023-01-11;ABEV3;BRABEVACNOR1;ABEV;284931818;14,6850871;1;4184248570,82
2023-01-11;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-11;ACNB34;BRACNBBDR006;ACNB;32;1426,605;1;45651,36
2023-01-11;ACWI11;BRACWICTF001;ACWI;405683;9,1868975;1;3726968,17
2023-01-11;ADBE34;BRADBEBDR003;ADBE;6;35,7133333;1;214,28
2023-01-11;AERI3;BRAERIACNOR4;AERI;11372657;1,0627873;1;12086716,32
2023-01-11;AESB3;BRAESBACNOR7;AESB;29750715;9,4439656;1;280964729,17
2023-01-11;AFHI11;BRAFHICTF005;AFHI;678;95,0745132;1;64460,52
2023-01-11;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-11;AGRO3;BRAGROACNOR7;AGRO;3052239;27,8624868;1;85042968,88
2023-01-11;AGXY3;BRAGXYACNOR4;AGXY;322106;9,0954172;1;2929688,48
2023-01-11;AIRB34;BRAIRBBDR004;AIRB;203027;23,5858069;1;4788555,62
2023-01-11;ALLD3;BRALLDACNOR3;ALLD;64085;6,001018;1;384575,24
2023-01-11;ALPA3;BRALPAACNOR0;ALPA;359;11,8308913;1;4247,29
2023-01-11;ALPA4;BRALPAACNPR7;ALPA;17310824;14,3081958;1;247686659,66
2023-01-11;ALPK3;BRALPKACNOR9;ALPK;82724;1,6379145;1;135494,84
2023-01-11;ALSO3;BRALSOACNOR5;ALSO;44541467;18,00154;1;801815003,4
2023-01-11;ALUG11;BRALUGCTF000;ALUG;12127;34,5372012;1;418832,64
2023-01-11;ALUP11;BRALUPCDAM15;ALUP;3026857;27,0473609;1;81868493,79
2023-01-11;ALUP3;BRALUPACNOR8;ALUP;2469;9,0570068;1;22361,75
2023-01-11;ALUP4;BRALUPACNPR5;ALUP;3297;9,201195;1;30336,34
2023-01-11;ALZR11;BRALZRCTF006;ALZR;1968;112,6247154;1;221645,44
2023-01-11;AMAR3;BRAMARACNOR4;AMAR;22649308;1,2549016;1;28422653,53
2023-01-11;AMBP3;BRAMBPACNOR6;AMBP;2242469;20,1603455;1;45208949,96
2023-01-11;AMER3;BRAMERACNOR6;AMER;75866785;9,3592959;1;710059689,91
2023-01-11;AMZO34;BRAMZOBDR002;AMZO;1133906;22,6721175;1;25708050,08
2023-01-11;ANIM3;BRANIMACNOR6;ANIM;8289862;3,9018628;1;32345904,53
2023-01-11;APER3;BRAPERACNOR9;APER;95588;26,790454;1;2560845,92
2023-01-11;ARCT11;BRARCTCTF008;ARCT;68;89,96;1;6117,28
2023-01-11;ARML3;BRARMLACNOR1;ARML;5607963;11,0626702;1;62039045,68
2023-01-11;ARMT34;BRARMTBDR008;ARMT;1;75,05;1;75,05
2023-01-11;ARZZ3;BRARZZACNOR3;ARZZ;5473036;76,4491893;1;418409165,6
2023-01-11;ASAI3;BRASAIACNOR0;ASAI;77791956;19,1851107;1;1492447290,65
2023-01-11;ASIA11;BRASIACTF011;ASIA;14;7,5542857;1;105,76
