RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-12;5GTK11;BR5GTKCTF000;5GTK;1;77,81;1;77,81
2023-01-12;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-12;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-12;A1IV34;BRA1IVBDR002;A1IV;1;38,81;1;38,81
2023-01-12;A1MD34;BRA1MDBDR002;A1MD;440;44,235;1;19463,4
2023-01-12;A1RE34;BRA1REBDR009;A1RE;65;191,6053846;1;12454,35
2023-01-12;A1UT34;BRA1UTBDR001;A1UT;158;247,2577848;1;39066,73
2023-01-12;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-12;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-12;AALR3;BRAALRACNOR6;AALR;1574392;20,9686422;1;33012862,66
2023-01-12;AAPL34;BRAAPLBDR004;AAPL;1536213;34,5651039;1;53099362,01
2023-01-12;ABBV34;BRABBVBDR001;ABBV;528;53,79;1;28401,12
2023-01-12;ABCB4;BRABCBACNPR4;ABCB;1314322;19,0847521;1;25083509,65
2023-01-12;ABEV3;BRABEVACNOR1;ABEV;307259414;14,6026286;1;4486795117,61
2023-01-12;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-12;ACNB34;BRACNBBDR006;ACNB;32;1426,605;1;45651,36
2023-01-12;ACWI11;BRACWICTF001;ACWI;405522;9,1868963;1;3725488,58
2023-01-12;ADBE34;BRADBEBDR003;ADBE;155;34,9795483;1;5421,83
2023-01-12;AERI3;BRAERIACNOR4;AERI;10838953;1,0572497;1;11459480,42
2023-01-12;AESB3;BRAESBACNOR7;AESB;29426616;9,4386533;1;277747628,81
2023-01-12;AFHI11;BRAFHICTF005;AFHI;678;95,0745132;1;64460,52
2023-01-12;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-12;AGRO3;BRAGROACNOR7;AGRO;3024842;27,8831756;1;84342200,73
2023-01-12;AGXY3;BRAGXYACNOR4;AGXY;324607;9,1113608;1;2957611,51
2023-01-12;AIRB34;BRAIRBBDR004;AIRB;192036;23,7163924;1;4554401,15
2023-01-12;ALLD3;BRALLDACNOR3;ALLD;59244;6,0247186;1;356928,43
2023-01-12;ALPA3;BRALPAACNOR0;ALPA;359;11,8308913;1;4247,29
2023-01-12;ALPA4;BRALPAACNPR7;ALPA;16586780;14,3735903;1;238411580,2
2023-01-12;ALPK3;BRALPKACNOR9;ALPK;79042;1,6420742;1;129792,83
2023-01-12;ALSO3;BRALSOACNOR5;ALSO;32321552;18,4417773;1;596066864,61
2023-01-12;ALUG11;BRALUGCTF000;ALUG;11759;34,5105655;1;405809,74
2023-01-12;ALUP11;BRALUPCDAM15;ALUP;3116600;27,1350757;1;84569177,17
2023-01-12;ALUP3;BRALUPACNOR8;ALUP;3118;9,2513309;1;28845,65
2023-01-12;ALUP4;BRALUPACNPR5;ALUP;2566;9,2372525;1;23702,79
2023-01-12;ALZR11;BRALZRCTF006;ALZR;2300;112,7758608;1;259384,48
2023-01-12;AMAR3;BRAMARACNOR4;AMAR;23218931;1,2619591;1;29301341,53
2023-01-12;AMBP3;BRAMBPACNOR6;AMBP;2188731;20,1564047;1;44116947,87
