RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-10;5GTK11;BR5GTKCTF000;5GTK;1;77,81;1;77,81
2023-01-10;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-10;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-10;A1MD34;BRA1MDBDR002;A1MD;437;44,2365446;1;19331,37
2023-01-10;A1RE34;BRA1REBDR009;A1RE;65;191,6053846;1;12454,35
2023-01-10;A1UT34;BRA1UTBDR001;A1UT;199;249,0823618;1;49567,39
2023-01-10;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-10;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-10;AALR3;BRAALRACNOR6;AALR;1514419;20,879425;1;31620198
2023-01-10;AAPL34;BRAAPLBDR004;AAPL;1490280;34,9586103;1;52098117,84
2023-01-10;ABCB4;BRABCBACNPR4;ABCB;1236617;18,9056527;1;23379051,59
2023-01-10;ABEV3;BRABEVACNOR1;ABEV;293021088;14,7464429;1;4321018760,86
2023-01-10;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-10;ACNB34;BRACNBBDR006;ACNB;12;1423,83;1;17085,96
2023-01-10;ACWI11;BRACWICTF001;ACWI;406045;9,1869006;1;3730295,09
2023-01-10;ADBE34;BRADBEBDR003;ADBE;5;35,812;1;179,06
2023-01-10;AERI3;BRAERIACNOR4;AERI;11307912;1,0606269;1;11993476,48
2023-01-10;AESB3;BRAESBACNOR7;AESB;28977977;9,4589849;1;274102247,87
2023-01-10;AFHI11;BRAFHICTF005;AFHI;781;95,109667;1;74280,65
2023-01-10;AGRO3;BRAGROACNOR7;AGRO;3083517;27,7871783;1;85682236,82
2023-01-10;AGXY3;BRAGXYACNOR4;AGXY;320006;9,0771531;1;2904743,48
2023-01-10;AIRB34;BRAIRBBDR004;AIRB;195700;23,6232271;1;4623065,56
2023-01-10;ALLD3;BRALLDACNOR3;ALLD;66373;6,0082274;1;398784,08
2023-01-10;ALPA3;BRALPAACNOR0;ALPA;359;11,8308913;1;4247,29
2023-01-10;ALPA4;BRALPAACNPR7;ALPA;16109116;14,3107208;1;230533061,51
2023-01-10;ALPK3;BRALPKACNOR9;ALPK;85621;1,635422;1;140026,47
2023-01-10;ALSO3;BRALSOACNOR5;ALSO;43983025;18,0219974;1;792661963,6
2023-01-10;ALUG11;BRALUGCTF000;ALUG;12127;34,5411346;1;418880,34
2023-01-10;ALUP11;BRALUPCDAM15;ALUP;3258691;26,9504704;1;87823255,4
2023-01-10;ALUP3;BRALUPACNOR8;ALUP;2869;9,0399965;1;25935,75
2023-01-10;ALUP4;BRALUPACNPR5;ALUP;3610;9,162385;1;33076,21
2023-01-10;ALZR11;BRALZRCTF006;ALZR;1921;112,6615096;1;216422,76
2023-01-10;AMAR3;BRAMARACNOR4;AMAR;23431960;1,2449355;1;29171278,93
