RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-09;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-09;A1ES34;BRA1ESBDR007;A1ES;2;148,91;1;297,82
2023-01-09;A1MD34;BRA1MDBDR002;A1MD;437;44,2365446;1;19331,37
2023-01-09;A1RE34;BRA1REBDR009;A1RE;65;191,6053846;1;12454,35
2023-01-09;A1UT34;BRA1UTBDR001;A1UT;146;245,7507534;1;35879,61
2023-01-09;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-09;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-09;AALR3;BRAALRACNOR6;AALR;1421199;20,8652896;1;29653728,82
2023-01-09;AAPL34;BRAAPLBDR004;AAPL;1342275;35,0199934;1;47006461,76
2023-01-09;ABCB4;BRABCBACNPR4;ABCB;1263963;18,8934265;1;23880592,1
2023-01-09;ABEV3;BRABEVACNOR1;ABEV;307930689;14,7786795;1;4550808989,28
2023-01-09;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-09;ACNB34;BRACNBBDR006;ACNB;6;1387,1;1;8322,6
2023-01-09;ACWI11;BRACWICTF001;ACWI;406049;9,1869028;1;3730332,73
2023-01-09;ADBE34;BRADBEBDR003;ADBE;4;35,6975;1;142,79
2023-01-09;AERI3;BRAERIACNOR4;AERI;10783281;1,0678527;1;11514956,18
2023-01-09;AESB3;BRAESBACNOR7;AESB;28743294;9,4687082;1;272161863,87
2023-01-09;AFHI11;BRAFHICTF005;AFHI;780;95,11;1;74185,8
2023-01-09;AGRO3;BRAGROACNOR7;AGRO;3094754;27,7982821;1;86028844,89
2023-01-09;AGXY3;BRAGXYACNOR4;AGXY;316106;9,0590076;1;2863606,68
2023-01-09;AIRB34;BRAIRBBDR004;AIRB;199032;23,6218701;1;4701508,06
2023-01-09;ALLD3;BRALLDACNOR3;ALLD;77473;6,033432;1;467428,08
2023-01-09;ALPA3;BRALPAACNOR0;ALPA;359;11,8308913;1;4247,29
2023-01-09;ALPA4;BRALPAACNPR7;ALPA;16625365;14,3296758;1;238236091,31
2023-01-09;ALPK3;BRALPKACNOR9;ALPK;88536;1,6332035;1;144597,31
