RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-23;A1DM34;BRA1DMBDR002;A1DM;4;444,51;1;1778,04
2023-01-23;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-23;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-23;A1MD34;BRA1MDBDR002;A1MD;11051;45,5944086;1;503863,81
2023-01-23;A1RE34;BRA1REBDR009;A1RE;77;194,6232467;1;14985,99
2023-01-23;A1UT34;BRA1UTBDR001;A1UT;241;255,9556431;1;61685,31
2023-01-23;A1VB34;BRA1VBBDR007;A1VB;1;214,86;1;214,86
2023-01-23;A1ZN34;BRA1ZNBDR003;A1ZN;1;61,15;1;61,15
2023-01-23;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-23;AALR3;BRAALRACNOR6;AALR;2067419;21,2425282;1;43917206,5
2023-01-23;AAPL34;BRAAPLBDR004;AAPL;1547935;34,5311111;1;53451915,57
2023-01-23;ABCB4;BRABCBACNPR4;ABCB;1650911;19,2460954;1;31773590,65
2023-01-23;ABEV3;BRABEVACNOR1;ABEV;296912979;14,1474562;1;4200563375,9
2023-01-23;ABTT34;BRABTTBDR007;ABTT;1208;48,4797516;1;58563,54
2023-01-23;ABUD34;BRABUDBDR009;ABUD;46378;51,300978;1;2379236,76
2023-01-23;ACNB34;BRACNBBDR006;ACNB;93;1424,45;1;132473,85
2023-01-23;ACWI11;BRACWICTF001;ACWI;231100;9,1974266;1;2125525,31
2023-01-23;ADBE34;BRADBEBDR003;ADBE;94;35,0345744;1;3293,25
2023-01-23;ADPR34;BRADPRBDR005;ADPR;1;52,39;1;52,39
2023-01-23;AERI3;BRAERIACNOR4;AERI;11844773;1,2033454;1;14253353,74
2023-01-23;AESB3;BRAESBACNOR7;AESB;32507234;9,5063439;1;309024948,25
2023-01-23;AFHI11;BRAFHICTF005;AFHI;470;95,0834893;1;44689,24
2023-01-23;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-23;AGRI11;BRAGRICTF002;AGRI;8;45,47;1;363,76
2023-01-23;AGRO3;BRAGROACNOR7;AGRO;2954197;28,2009771;1;83311241,96
2023-01-23;AGXY3;BRAGXYACNOR4;AGXY;317510;9,4802801;1;3010083,75
2023-01-23;AIEC11;BRAIECCTF009;AIEC;39;66,85;1;2607,15
2023-01-23;AIRB34;BRAIRBBDR004;AIRB;175173;24,1847116;1;4236508,5
