RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-06;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-06;A1ES34;BRA1ESBDR007;A1ES;2;148,91;1;297,82
2023-01-06;A1IV34;BRA1IVBDR002;A1IV;1;38,65;1;38,65
2023-01-06;A1MD34;BRA1MDBDR002;A1MD;437;44,2365446;1;19331,37
2023-01-06;A1RE34;BRA1REBDR009;A1RE;65;191,6053846;1;12454,35
2023-01-06;A1UT34;BRA1UTBDR001;A1UT;146;246,3255479;1;35963,53
2023-01-06;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-06;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-06;AALR3;BRAALRACNOR6;AALR;1367209;20,8425924;1;28496180,01
2023-01-06;AAPL34;BRAAPLBDR004;AAPL;1377540;35,0209981;1;48242825,76
2023-01-06;ABCB4;BRABCBACNPR4;ABCB;1237505;18,8897411;1;23376149,11
2023-01-06;ABEV3;BRABEVACNOR1;ABEV;300351933;14,840505;1;4457374367,55
2023-01-06;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-06;ACWI11;BRACWICTF001;ACWI;407101;9,1869498;1;3740016,49
2023-01-06;ADBE34;BRADBEBDR003;ADBE;17;36,357647;1;618,08
2023-01-06;AERI3;BRAERIACNOR4;AERI;10665442;1,070435;1;11416663,33
2023-01-06;AESB3;BRAESBACNOR7;AESB;26815063;9,5040179;1;254850840,61
2023-01-06;AFHI11;BRAFHICTF005;AFHI;780;95,11;1;74185,8
2023-01-06;AGRO3;BRAGROACNOR7;AGRO;3432512;27,8391969;1;95558377,45
2023-01-06;AGXY3;BRAGXYACNOR4;AGXY;317106;8,8859857;1;2817799,4
2023-01-06;AIRB34;BRAIRBBDR004;AIRB;207198;23,6253681;1;4895129,04
2023-01-06;ALLD3;BRALLDACNOR3;ALLD;81321;6,0581547;1;492655,2
2023-01-06;ALPA3;BRALPAACNOR0;ALPA;359;11,8308913;1;4247,29
2023-01-06;ALPA4;BRALPAACNPR7;ALPA;16816895;14,3493948;1;241312266,24
2023-01-06;ALPK3;BRALPKACNOR9;ALPK;88641;1,6331642;1;144765,31
2023-01-06;ALSO3;BRALSOACNOR5;ALSO;29015372;16,4109479;1;476169760,38
2023-01-06;ALUG11;BRALUGCTF000;ALUG;16326;34,8425725;1;568839,84
2023-01-06;ALUP11;BRALUPCDAM15;ALUP;2887045;26,9191613;1;77716830,12
2023-01-06;ALUP3;BRALUPACNOR8;ALUP;2440;9,0359221;1;22047,65
2023-01-06;ALUP4;BRALUPACNPR5;ALUP;4018;9,2074166;1;36995,4
2023-01-06;ALZR11;BRALZRCTF006;ALZR;1524;112,5165879;1;171475,28
2023-01-06;AMAR3;BRAMARACNOR4;AMAR;23376975;1,2517564;1;29262278,51
2023-01-06;AMBP3;BRAMBPACNOR6;AMBP;2032368;20,2917917;1;41240388,31
2023-01-06;AMER3;BRAMERACNOR6;AMER;74448130;8,8683614;1;660232925,83
2023-01-06;AMZO34;BRAMZOBDR002;AMZO;1441335;22,690134;1;32704084,42
2023-01-06;ANIM3;BRANIMACNOR6;ANIM;7697166;3,9462859;1;30375218,1
2023-01-06;APER3;BRAPERACNOR9;APER;95062;26,8201681;1;2549578,82
2023-01-06;ARCT11;BRARCTCTF008;ARCT;68;89,96;1;6117,28
2023-01-06;ARML3;BRARMLACNOR1;ARML;5573986;11,1249123;1;62010105,48
2023-01-06;ARMT34;BRARMTBDR008;ARMT;1;75,05;1;75,05
2023-01-06;ARZZ3;BRARZZACNOR3;ARZZ;5189274;77,099051;1;400088101,12
2023-01-06;ASAI3;BRASAIACNOR0;ASAI;74648074;19,2081992;1;1433855080,52
2023-01-06;ASIA11;BRASIACTF011;ASIA;55;7,6405454;1;420,23
2023-01-06;ATMP3;BRATMPACNOR8;ATMP;2951;1,141718;1;3369,21
2023-01-06;ATOM3;BRATOMACNOR1;ATOM;806;2,2379528;1;1803,79
