RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-17;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-17;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-17;A1IV34;BRA1IVBDR002;A1IV;132;39,2;1;5174,4
2023-01-17;A1MD34;BRA1MDBDR002;A1MD;40;44,82;1;1792,8
2023-01-17;A1RE34;BRA1REBDR009;A1RE;79;194,3064556;1;15350,21
2023-01-17;A1UT34;BRA1UTBDR001;A1UT;156;247,1167307;1;38550,21
2023-01-17;A1VB34;BRA1VBBDR007;A1VB;1;214,86;1;214,86
2023-01-17;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-17;A2MR34;BRA2MRBDR000;A2MR;1008;7,88;1;7943,04
2023-01-17;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-17;AALR3;BRAALRACNOR6;AALR;1899023;20,9434913;1;39772171,69
2023-01-17;AAPL34;BRAAPLBDR004;AAPL;1362950;34,5069905;1;47031302,72
2023-01-17;ABBV34;BRABBVBDR001;ABBV;1458;50,7599451;1;74008
2023-01-17;ABCB4;BRABCBACNPR4;ABCB;1535848;18,9886364;1;29163659,28
2023-01-17;ABEV3;BRABEVACNOR1;ABEV;304819562;14,3589849;1;4376899504,85
2023-01-17;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-17;ACWI11;BRACWICTF001;ACWI;388706;9,1868393;1;3570979,59
2023-01-17;ADBE34;BRADBEBDR003;ADBE;253;34,9118577;1;8832,7
2023-01-17;ADPR34;BRADPRBDR005;ADPR;1;52,39;1;52,39
2023-01-17;AERI3;BRAERIACNOR4;AERI;10981434;1,0921485;1;11993357,19
2023-01-17;AESB3;BRAESBACNOR7;AESB;30730762;9,4287306;1;289752077,05
2023-01-17;AFHI11;BRAFHICTF005;AFHI;817;95,3898531;1;77933,51
2023-01-17;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-17;AGRO3;BRAGROACNOR7;AGRO;2905985;27,9489487;1;81219225,92
2023-01-17;AGXY3;BRAGXYACNOR4;AGXY;326821;9,201206;1;3007147,35
2023-01-17;AIRB34;BRAIRBBDR004;AIRB;204858;24,0771259;1;4932391,86
2023-01-17;ALLD3;BRALLDACNOR3;ALLD;45300;6,006503;1;272094,59
2023-01-17;ALPA3;BRALPAACNOR0;ALPA;1645;11,7528145;1;19333,38
2023-01-17;ALPA4;BRALPAACNPR7;ALPA;17516536;14,3425114;1;251231117,54
2023-01-17;ALPK3;BRALPKACNOR9;ALPK;63514;1,6517662;1;104910,28
2023-01-17;ALSO3;BRALSOACNOR5;ALSO;18920744;18,7168465;1;354136661,26
2023-01-17;ALUG11;BRALUGCTF000;ALUG;11074;34,6327966;1;383523,59
2023-01-17;ALUP11;BRALUPCDAM15;ALUP;3063270;27,2612108;1;83508449,37
2023-01-17;ALUP3;BRALUPACNOR8;ALUP;1018;9,1862966;1;9351,65
2023-01-17;ALUP4;BRALUPACNPR5;ALUP;1411;9,2856909;1;13102,11
2023-01-17;ALZR11;BRALZRCTF006;ALZR;2053;112,7890745;1;231555,97
2023-01-17;AMAR3;BRAMARACNOR4;AMAR;24055384;1,25447;1;30176757,89
2023-01-17;AMBP3;BRAMBPACNOR6;AMBP;2348189;20,202283;1;47438778,76
2023-01-17;AMER3;BRAMERACNOR6;AMER;28933278;6,6035004;1;191060915,56
2023-01-17;AMZO34;BRAMZOBDR002;AMZO;564571;23,6663878;1;13361356,28
2023-01-17;ANIM3;BRANIMACNOR6;ANIM;8082218;3,8674384;1;31257480,26
2023-01-17;APER3;BRAPERACNOR9;APER;87207;27,2490708;1;2376309,72
2023-01-17;ARCT11;BRARCTCTF008;ARCT;43;89,96;1;3868,28
2023-01-17;ARML3;BRARMLACNOR1;ARML;5515446;10,9994737;1;60667003,35
2023-01-17;ARMT34;BRARMTBDR008;ARMT;6069;78,4374641;1;476036,97
2023-01-17;ARRI11;BRARRICTF009;ARRI;10;9,34;1;93,4
2023-01-17;ARZZ3;BRARZZACNOR3;ARZZ;5352218;76,6445767;1;410218483,53
2023-01-17;ASAI3;BRASAIACNOR0;ASAI;74205828;19,397215;1;1439386407,12
2023-01-17;ASIA11;BRASIACTF011;ASIA;14;7,5542857;1;105,76
2023-01-17;ASML34;BRASMLBDR003;ASML;51;64,79;1;3304,29
2023-01-17;ATMP3;BRATMPACNOR8;ATMP;2700;1,2131407;1;3275,48
