RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-19;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-19;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-19;A1MD34;BRA1MDBDR002;A1MD;8913;45,8778716;1;408909,47
2023-01-19;A1RE34;BRA1REBDR009;A1RE;76;194,5723684;1;14787,5
2023-01-19;A1UT34;BRA1UTBDR001;A1UT;155;247,0448387;1;38291,95
2023-01-19;A1VB34;BRA1VBBDR007;A1VB;1;214,86;1;214,86
2023-01-19;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-19;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-19;AALR3;BRAALRACNOR6;AALR;2114675;21,2029419;1;44837331,32
2023-01-19;AAPL34;BRAAPLBDR004;AAPL;1555751;34,4553709;1;53603977,85
2023-01-19;ABBV34;BRABBVBDR001;ABBV;261;48,25;1;12593,25
2023-01-19;ABCB4;BRABCBACNPR4;ABCB;1523052;19,0302253;1;28984022,84
2023-01-19;ABEV3;BRABEVACNOR1;ABEV;299105394;14,2398983;1;4259230416,57
2023-01-19;ABTT34;BRABTTBDR007;ABTT;104;48,5817307;1;5052,5
2023-01-19;ACWI11;BRACWICTF001;ACWI;368015;9,1868973;1;3380916,04
2023-01-19;ADBE34;BRADBEBDR003;ADBE;91;34,9707692;1;3182,34
2023-01-19;ADPR34;BRADPRBDR005;ADPR;1;52,39;1;52,39
2023-01-19;AERI3;BRAERIACNOR4;AERI;10279309;1,1272325;1;11587171,86
2023-01-19;AESB3;BRAESBACNOR7;AESB;32566286;9,4577182;1;308002756,91
2023-01-19;AFHI11;BRAFHICTF005;AFHI;817;95,3898531;1;77933,51
2023-01-19;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-19;AGRI11;BRAGRICTF002;AGRI;8;45,47;1;363,76
2023-01-19;AGRO3;BRAGROACNOR7;AGRO;2926452;28,0769192;1;82165756,51
2023-01-19;AGXY3;BRAGXYACNOR4;AGXY;378425;9,3235592;1;3528267,9
2023-01-19;AIRB34;BRAIRBBDR004;AIRB;194698;24,2565081;1;4722693,62
2023-01-19;ALLD3;BRALLDACNOR3;ALLD;42744;5,9007954;1;252223,6
2023-01-19;ALPA3;BRALPAACNOR0;ALPA;659;11,7637936;1;7752,34
2023-01-19;ALPA4;BRALPAACNPR7;ALPA;18249247;14,2697441;1;260412086,36
2023-01-19;ALPK3;BRALPKACNOR9;ALPK;70003;1,6458387;1;115213,65
2023-01-19;ALSO3;BRALSOACNOR5;ALSO;15918618;18,3599564;1;292265133,87
2023-01-19;ALUG11;BRALUGCTF000;ALUG;11074;34,6327966;1;383523,59
2023-01-19;ALUP11;BRALUPCDAM15;ALUP;3283055;27,550308;1;90449176,59
2023-01-19;ALUP3;BRALUPACNOR8;ALUP;318;9,3731132;1;2980,65
2023-01-19;ALUP4;BRALUPACNPR5;ALUP;1395;9,2917204;1;12961,95
2023-01-19;ALZR11;BRALZRCTF006;ALZR;3328;113,3809014;1;377331,64
2023-01-19;AMAR3;BRAMARACNOR4;AMAR;24353622;1,2563585;1;30596882,39
2023-01-19;AMBP3;BRAMBPACNOR6;AMBP;2609888;20,6057221;1;53778626,88
2023-01-19;AMER3;BRAMERACNOR6;AMER;34563546;3,5520738;1;122772269,56
2023-01-19;AMZO34;BRAMZOBDR002;AMZO;551266;23,7224068;1;13077356,35
2023-01-19;ANIM3;BRANIMACNOR6;ANIM;7608697;3,8614601;1;29380680,05
2023-01-19;APER3;BRAPERACNOR9;APER;84289;27,5001439;1;2317959,63
2023-01-19;ARCT11;BRARCTCTF008;ARCT;43;89,96;1;3868,28
2023-01-19;ARML3;BRARMLACNOR1;ARML;5511361;11,0241991;1;60758341,44
2023-01-19;ARMT34;BRARMTBDR008;ARMT;6061;78,4361409;1;475401,45
2023-01-19;ARRI11;BRARRICTF009;ARRI;10;9,34;1;93,4
2023-01-19;ARZZ3;BRARZZACNOR3;ARZZ;4609459;76,9638879;1;354761885,94
2023-01-19;ASAI3;BRASAIACNOR0;ASAI;72134259;19,5389994;1;1409431246,2
2023-01-19;ASIA11;BRASIACTF011;ASIA;14;7,8142857;1;109,4
2023-01-19;ATMP3;BRATMPACNOR8;ATMP;2551;1,212156;1;3092,21
2023-01-19;ATOM3;BRATOMACNOR1;ATOM;806;2,3278163;1;1876,22
2023-01-19;ATTB34;BRATTBBDR007;ATTB;1663;32,7947865;1;54537,73
2023-01-19;AURA33;BRAURABDR001;AURA;295566;34,9842053;1;10340141,63
2023-01-19;AURE3;BRAUREACNOR9;AURE;14735858;14,6786234;1;216302110,59
2023-01-19;AVGO34;BRAVGOBDR003;AVGO;1270;42,6527952;1;54169,05
2023-01-19;AVLL3;BRAVLLACNOR5;AVLL;512;6,8012695;1;3482,25
2023-01-19;AXPB34;BRAXPBBDR007;AXPB;3;76,9;1;230,7
2023-01-19;AZEV3;BRAZEVACNOR0;AZEV;13772;1,6918022;1;23299,5
2023-01-19;AZEV4;BRAZEVACNPR7;AZEV;1067156;1,5123793;1;1613944,68
2023-01-19;AZUL4;BRAZULACNPR4;AZUL;19118310;11,5841387;1;221469155,35
2023-01-19;B1NT34;BRB1NTBDR005;B1NT;1266;45,9625276;1;58188,56
2023-01-19;B3SA3;BRB3SAACNOR6;B3SA;216652901;12,7498708;1;2762296510,89
2023-01-19;BAAX39;BRBAAXBDR009;BAAX;75617;35,3097929;1;2670020,61
2023-01-19;BABA34;BRBABABDR005;BABA;732307;19,211241;1;14068526,29
2023-01-19;BACW39;BRBACWBDR007;BACW;104295;45,769794;1;4773560,67
2023-01-19;BAHI3;BRBAHIACNOR1;BAHI;300;11,5266666;1;3458
2023-01-19;BALM4;BRBALMACNPR2;BALM;5;9,85;1;49,25
2023-01-19;BARI11;BRBARICTF003;BARI;19;86,4231578;1;1642,04
2023-01-19;BAUH4;BRBAUHACNPR3;BAUH;3;83,89;1;251,67
2023-01-19;BAZA3;BRBAZAACNOR0;BAZA;254;50,0524409;1;12713,32
2023-01-19;BBAS3;BRBBASACNOR3;BBAS;69178691;34,9487254;1;2417707080
2023-01-19;BBDC3;BRBBDCACNOR1;BBDC;88172008;13,1061875;1;1155598875,71
2023-01-19;BBDC4;BRBBDCACNPR8;BBDC;419151007;14,7929538;1;6200481519,72
2023-01-19;BBOV11;BRBBOVCTF001;BBOV;3964;57,471622;1;227817,51
2023-01-19;BBPO11;BRBBPOCTF003;BBPO;4284;85,5220051;1;366376,27
2023-01-19;BBSD11;BRBBSDCTF000;BBSD;3;88,7733333;1;266,32
2023-01-19;BBSE3;BRBBSEACNOR5;BBSE;25006148;33,3572859;1;834137229,75
2023-01-19;BBUG39;BRBBUGBDR000;BBUG;1;34,8;1;34,8
2023-01-19;BCFF11;BRBCFFCTF000;BCFF;10491;65,1020064;1;682985,15
2023-01-19;BCHI39;BRBCHIBDR001;BCHI;129972;33,1831508;1;4312880,48
2023-01-19;BCHQ39;BRBCHQBDR004;BCHQ;4;29,165;1;116,66
2023-01-19;BCLO39;BRBCLOBDR001;BCLO;1;28,34;1;28,34
2023-01-19;BCPX39;BRBCPXBDR003;BCPX;2;39,79;1;79,58
2023-01-19;BCRI11;BRBCRICTF009;BCRI;415;96,989518;1;40250,65
2023-01-19;BCSA34;BRBCSABDR005;BCSA;307;15,1870358;1;4662,42
2023-01-19;BDIV11;BRBDIVCTF009;BDIV;2;104,32;1;208,64
2023-01-19;BDOM11;BRBDOMCTF006;BDOM;109;81,3819266;1;8870,63
2023-01-19;BDRI39;BRBDRIBDR008;BDRI;1;37,34;1;37,34
2023-01-19;BDVD39;BRBDVDBDR001;BDVD;3;50,1266666;1;150,38
2023-01-19;BDVY39;BRBDVYBDR007;BDVY;94;63,687234;1;5986,6
2023-01-19;BEEF3;BRBEEFACNOR6;BEEF;21061071;13,8025772;1;290697058,47
2023-01-19;BEEM39;BRBEEMBDR006;BEEM;11397;35,2377985;1;401605,19
2023-01-19;BEES3;BRBEESACNOR9;BEES;1550;5,633529;1;8731,97
2023-01-19;BEES4;BRBEESACNPR6;BEES;712;6,5342415;1;4652,38
2023-01-19;BEFA39;BRBEFABDR008;BEFA;17;45,3835294;1;771,52
2023-01-19;BERK34;BRBERKBDR002;BERK;266606;79,464791;1;21185790,09
2023-01-19;BEWG39;BRBEWGBDR000;BEWG;906;43,7926048;1;39676,1
2023-01-19;BEWJ39;BRBEWJBDR004;BEWJ;2879;35,8826884;1;103306,26
2023-01-19;BEWU39;BRBEWUBDR001;BEWU;514;56,0025097;1;28785,29
2023-01-19;BFNX39;BRBFNXBDR001;BFNX;2;20,33;1;40,66
2023-01-19;BGIP4;BRBGIPACNPR8;BGIP;10;17,664;1;176,64
2023-01-19;BIAU39;BRBIAUBDR008;BIAU;1612;45,6634615;1;73609,5
2023-01-19;BIDU34;BRBIDUBDR002;BIDU;114;50,04;1;5704,56
2023-01-19;BIEM39;BRBIEMBDR007;BIEM;19000;43,1640763;1;820117,45
2023-01-19;BIEU39;BRBIEUBDR000;BIEU;19345;44,2656908;1;856319,79
2023-01-19;BIHI39;BRBIHIBDR008;BIHI;12377;7,9067681;1;97862,07
2023-01-19;BILB34;BRBILBBDR005;BILB;1;35,44;1;35,44
2023-01-19;BIOM3;BRBIOMACNOR2;BIOM;10400;6,3564423;1;66107
2023-01-19;BITH11;BRBITHCTF004;BITH;83880;21,6040373;1;1812146,65
2023-01-19;BITO39;BRBITOBDR001;BITO;8471;45,0507649;1;381625,03
2023-01-19;BIVB39;BRBIVBBDR004;BIVB;64518;50,9497544;1;3287176,26
2023-01-19;BIWM39;BRBIWMBDR009;BIWM;2250;46,6687555;1;105004,7
2023-01-19;BIYE39;BRBIYEBDR002;BIYE;22;82,14;1;1807,08
2023-01-19;BIYF39;BRBIYFBDR009;BIYF;405;27,2157777;1;11022,39
2023-01-19;BIYW39;BRBIYWBDR004;BIYW;843;11,7035349;1;9866,08
2023-01-19;BKNG34;BRBKNGBDR006;BKNG;138;60,8466666;1;8396,84
2023-01-19;BLAK34;BRBLAKBDR003;BLAK;7444;57,8414051;1;430571,42
2023-01-19;BLAU3;BRBLAUACNOR8;BLAU;1042555;26,3126337;1;27432367,84
2023-01-19;BLBT39;BRBLBTBDR002;BLBT;29;40,8510344;1;1184,68
2023-01-19;BLPA39;BRBLPABDR002;BLPA;2;55,375;1;110,75
