RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-02;A1BB34;BRA1BBBDR009;A1BB;2;40,47;1;80,94
2023-01-02;A1EG34;BRA1EGBDR002;A1EG;2;25,45;1;50,9
2023-01-02;A1ES34;BRA1ESBDR007;A1ES;2;148,91;1;297,82
2023-01-02;A1IV34;BRA1IVBDR002;A1IV;2;38,04;1;76,08
2023-01-02;A1LB34;BRA1LBBDR008;A1LB;78;48,98;1;3820,44
2023-01-02;A1MD34;BRA1MDBDR002;A1MD;6240;43,5148205;1;271532,48
2023-01-02;A1RE34;BRA1REBDR009;A1RE;63;191,1407936;1;12041,87
2023-01-02;A1UT34;BRA1UTBDR001;A1UT;146;246,3255479;1;35963,53
2023-01-02;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-02;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-02;A2SO34;BRA2SOBDR004;A2SO;1;72,01;1;72,01
2023-01-02;AALR3;BRAALRACNOR6;AALR;1368406;20,5793778;1;28160944,18
2023-01-02;AAPL34;BRAAPLBDR004;AAPL;1409171;35,2940685;1;49735377,82
2023-01-02;ABCB4;BRABCBACNPR4;ABCB;1359670;19,1130259;1;25987407,95
2023-01-02;ABEV3;BRABEVACNOR1;ABEV;297474946;15,0909228;1;4489171454
2023-01-02;ABTT34;BRABTTBDR007;ABTT;63;47,8982539;1;3017,59
2023-01-02;ACWI11;BRACWICTF001;ACWI;585507;9,241976;1;5411241,68
2023-01-02;ADBE34;BRADBEBDR003;ADBE;3003;35,63;1;106996,89
2023-01-02;AERI3;BRAERIACNOR4;AERI;10900206;1,1405348;1;12432064,89
2023-01-02;AESB3;BRAESBACNOR7;AESB;25990506;9,6246122;1;250148542,14
2023-01-02;AFHI11;BRAFHICTF005;AFHI;8;93,85;1;750,8
2023-01-02;AGRI11;BRAGRICTF002;AGRI;212;45,5;1;9646
2023-01-02;AGRO3;BRAGROACNOR7;AGRO;3071389;27,4575785;1;84332904,72
2023-01-02;AGXY3;BRAGXYACNOR4;AGXY;311484;8,7930201;1;2738885,1
2023-01-02;AIRB34;BRAIRBBDR004;AIRB;209681;24,3508218;1;5105904,68
2023-01-02;ALLD3;BRALLDACNOR3;ALLD;84609;6,1896977;1;523704,14
2023-01-02;ALPA3;BRALPAACNOR0;ALPA;959;11,6450364;1;11167,59
2023-01-02;ALPA4;BRALPAACNPR7;ALPA;16713975;14,658988;1;245009960,61
2023-01-02;ALPK3;BRALPKACNOR9;ALPK;65642;1,6585654;1;108871,55
2023-01-02;ALSO3;BRALSOACNOR5;ALSO;25005071;16,6032799;1;415166193,46
2023-01-02;ALUG11;BRALUGCTF000;ALUG;77692;34,3991248;1;2672536,81
2023-01-02;ALUP11;BRALUPCDAM15;ALUP;2630151;26,7283459;1;70299585,8
2023-01-02;ALUP3;BRALUPACNOR8;ALUP;1829;8,9479223;1;16365,75
2023-01-02;ALUP4;BRALUPACNPR5;ALUP;2711;9,1713574;1;24863,55
2023-01-02;ALZR11;BRALZRCTF006;ALZR;1480;112,8907027;1;167078,24
2023-01-02;AMAR3;BRAMARACNOR4;AMAR;22711054;1,3011502;1;29550493,15
2023-01-02;AMBP3;BRAMBPACNOR6;AMBP;1849860;21,1554436;1;39134608,96
2023-01-02;AMER3;BRAMERACNOR6;AMER;65253631;8,9974798;1;587118228,45
2023-01-02;AMZO34;BRAMZOBDR002;AMZO;1549168;22,791837;1;35308384,57
2023-01-02;ANIM3;BRANIMACNOR6;ANIM;8307710;4,0697092;1;33809964,02
2023-01-02;APER3;BRAPERACNOR9;APER;98427;26,852323;1;2642993,6
2023-01-02;ARML3;BRARMLACNOR1;ARML;5609298;11,4012364;1;63952932,85
2023-01-02;ARZZ3;BRARZZACNOR3;ARZZ;4734873;79,2434269;1;375207562,5
2023-01-02;ASAI3;BRASAIACNOR0;ASAI;78552942;19,4261003;1;1525977336,91
2023-01-02;ASIA11;BRASIACTF011;ASIA;14;7,5542857;1;105,76
2023-01-02;ATMP3;BRATMPACNOR8;ATMP;2991;1,1349582;1;3394,66
2023-01-02;ATOM3;BRATOMACNOR1;ATOM;806;2,2379528;1;1803,79
2023-01-02;ATTB34;BRATTBBDR007;ATTB;900;32,7833333;1;29505
2023-01-02;ATVI34;BRATVIBDR008;ATVI;79;400,44;1;31634,76
2023-01-02;AURA33;BRAURABDR001;AURA;324273;29,8071127;1;9665641,87
2023-01-02;AURE3;BRAUREACNOR9;AURE;11949048;14,3515721;1;171487624,16
2023-01-02;AVGO34;BRAVGOBDR003;AVGO;1037;39,5494985;1;41012,83
2023-01-02;AVLL3;BRAVLLACNOR5;AVLL;512;6,7764648;1;3469,55
2023-01-02;AXPB34;BRAXPBBDR007;AXPB;3;77,9833333;1;233,95
2023-01-02;AZEV3;BRAZEVACNOR0;AZEV;1870;1,5049839;1;2814,32
2023-01-02;AZEV4;BRAZEVACNPR7;AZEV;724138;1,3975742;1;1012036,6
2023-01-02;AZUL4;BRAZULACNPR4;AZUL;24351334;11,2938133;1;275019421,81
2023-01-02;B1IL34;BRB1ILBDR002;B1IL;545;26,23;1;14295,35
2023-01-02;B1LL34;BRB1LLBDR006;B1LL;17;126,2923529;1;2146,97
2023-01-02;B1NT34;BRB1NTBDR005;B1NT;11698;55,3395195;1;647361,7
2023-01-02;B1TI34;BRB1TIBDR005;B1TI;26;42,89;1;1115,14
2023-01-02;B2YN34;BRB2YNBDR003;B2YN;1702;3,22;1;5480,44
2023-01-02;B3SA3;BRB3SAACNOR6;B3SA;219620127;12,4696358;1;2738583004,97
2023-01-02;BAAX39;BRBAAXBDR009;BAAX;49809;34,6052964;1;1723655,21
2023-01-02;BABA34;BRBABABDR005;BABA;604946;16,7355493;1;10124103,61
2023-01-02;BACW39;BRBACWBDR007;BACW;44457;45,7656591;1;2034603,91
2023-01-02;BAHI3;BRBAHIACNOR1;BAHI;170;12,54;1;2131,8
2023-01-02;BALM4;BRBALMACNPR2;BALM;5;9,7;1;48,5
2023-01-02;BARI11;BRBARICTF003;BARI;19;93,5163157;1;1776,81
2023-01-02;BAUH4;BRBAUHACNPR3;BAUH;3;79,88;1;239,64
2023-01-02;BAZA3;BRBAZAACNOR0;BAZA;630;49,3012857;1;31059,81
2023-01-02;BBAS3;BRBBASACNOR3;BBAS;59896077;33,9582834;1;2033967958,44
2023-01-02;BBDC3;BRBBDCACNOR1;BBDC;94073025;13,0075123;1;1223656034,28
2023-01-02;BBDC4;BRBBDCACNPR8;BBDC;360032214;14,6254851;1;5265645796,94
2023-01-02;BBOV11;BRBBOVCTF001;BBOV;22026;56,2033673;1;1237935,37
2023-01-02;BBPO11;BRBBPOCTF003;BBPO;4054;86,4256808;1;350369,71
2023-01-02;BBSD11;BRBBSDCTF000;BBSD;206;89,5870873;1;18454,94
2023-01-02;BBSE3;BRBBSEACNOR5;BBSE;25813185;32,0858955;1;828239156,83
2023-01-02;BBUG39;BRBBUGBDR000;BBUG;1;37,48;1;37,48
2023-01-02;BCFF11;BRBCFFCTF000;BCFF;9481;66,283796;1;628436,67
2023-01-02;BCHI39;BRBCHIBDR001;BCHI;111640;30,6432104;1;3421008,02
2023-01-02;BCHQ39;BRBCHQBDR004;BCHQ;4;26,74;1;106,96
2023-01-02;BCLO39;BRBCLOBDR001;BCLO;1;29,26;1;29,26
2023-01-02;BCPX39;BRBCPXBDR003;BCPX;2;38,38;1;76,76
2023-01-02;BCRI11;BRBCRICTF009;BCRI;317;96,5639747;1;30610,78
2023-01-02;BCSA34;BRBCSABDR005;BCSA;2711;15,667049;1;42473,37
2023-01-02;BDIV11;BRBDIVCTF009;BDIV;2;104,14;1;208,28
2023-01-02;BDOM11;BRBDOMCTF006;BDOM;96;80,8817708;1;7764,65
2023-01-02;BDRI39;BRBDRIBDR008;BDRI;1;40,16;1;40,16
2023-01-02;BDVD39;BRBDVDBDR001;BDVD;3;51,4833333;1;154,45
2023-01-02;BDVY39;BRBDVYBDR007;BDVY;94;62,6787234;1;5891,8
2023-01-02;BEEF3;BRBEEFACNOR6;BEEF;17574050;12,4226993;1;218317140,02
2023-01-02;BEES3;BRBEESACNOR9;BEES;1949;5,8716777;1;11443,9
2023-01-02;BEES4;BRBEESACNPR6;BEES;122;6,5234426;1;795,86
2023-01-02;BEFA39;BRBEFABDR008;BEFA;6;43,46;1;260,76
2023-01-02;BERK34;BRBERKBDR002;BERK;422120;80,4393998;1;33955079,48
2023-01-02;BEWA39;BRBEWABDR003;BEWA;12;39,69;1;476,28
2023-01-02;BEWG39;BRBEWGBDR000;BEWG;1306;43,0390505;1;56209
2023-01-02;BEWJ39;BRBEWJBDR004;BEWJ;1347;35,78;1;48195,66
2023-01-02;BEWU39;BRBEWUBDR001;BEWU;789;55,3215589;1;43648,71
2023-01-02;BFNX39;BRBFNXBDR001;BFNX;2;21,42;1;42,84
2023-01-02;BGIP4;BRBGIPACNPR8;BGIP;10;17,664;1;176,64
2023-01-02;BIAU39;BRBIAUBDR008;BIAU;752;45,4043882;1;34144,1
