RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-01-18;A1EG34;BRA1EGBDR002;A1EG;2;27,5;1;55
2023-01-18;A1ES34;BRA1ESBDR007;A1ES;2;152,02;1;304,04
2023-01-18;A1IV34;BRA1IVBDR002;A1IV;132;39,2;1;5174,4
2023-01-18;A1MD34;BRA1MDBDR002;A1MD;7120;45,9;1;326808
2023-01-18;A1RE34;BRA1REBDR009;A1RE;79;194,3064556;1;15350,21
2023-01-18;A1UT34;BRA1UTBDR001;A1UT;156;247,1167307;1;38550,21
2023-01-18;A1VB34;BRA1VBBDR007;A1VB;1;214,86;1;214,86
2023-01-18;A1ZN34;BRA1ZNBDR003;A1ZN;1;62,13;1;62,13
2023-01-18;A2MR34;BRA2MRBDR000;A2MR;1008;7,88;1;7943,04
2023-01-18;A2RW34;BRA2RWBDR009;A2RW;395;37,97;1;14998,15
2023-01-18;AALR3;BRAALRACNOR6;AALR;2105344;21,1327943;1;44491801,8
2023-01-18;AAPL34;BRAAPLBDR004;AAPL;1540691;34,4958482;1;53147442,89
2023-01-18;ABBV34;BRABBVBDR001;ABBV;946;49,12;1;46467,52
2023-01-18;ABCB4;BRABCBACNPR4;ABCB;1494434;19,005064;1;28401813,85
2023-01-18;ABEV3;BRABEVACNOR1;ABEV;297747247;14,2958739;1;4256557122,98
2023-01-18;ABTT34;BRABTTBDR007;ABTT;103;48,5857281;1;5004,33
2023-01-18;ACWI11;BRACWICTF001;ACWI;388706;9,1870536;1;3571062,89
2023-01-18;ADBE34;BRADBEBDR003;ADBE;125;34,94672;1;4368,34
2023-01-18;ADPR34;BRADPRBDR005;ADPR;1;52,39;1;52,39
2023-01-18;AERI3;BRAERIACNOR4;AERI;10648667;1,1157326;1;11881065,54
2023-01-18;AESB3;BRAESBACNOR7;AESB;31526433;9,4261908;1;297174172,78
2023-01-18;AFHI11;BRAFHICTF005;AFHI;817;95,3898531;1;77933,51
2023-01-18;AFLT3;BRAFLTACNOR1;AFLT;60;9,31;1;558,6
2023-01-18;AGRI11;BRAGRICTF002;AGRI;8;45,47;1;363,76
2023-01-18;AGRO3;BRAGROACNOR7;AGRO;2904483;28,0021604;1;81331798,91
2023-01-18;AGXY3;BRAGXYACNOR4;AGXY;324921;9,2613502;1;3009207,17
2023-01-18;AIRB34;BRAIRBBDR004;AIRB;205259;24,1925291;1;4965734,34
2023-01-18;ALLD3;BRALLDACNOR3;ALLD;42690;6,0333295;1;257562,84
2023-01-18;ALPA3;BRALPAACNOR0;ALPA;1559;11,7507633;1;18319,44
